"","state","pm"
"1","Alabama",8.3
"2","Alaska",7.2
"3","Arizona",6.025
"4","Arkansas",7.71111111111111
"5","California",8.0906976744186
"6","Colorado",5.72307692307692
"7","Connecticut",5.22
"8","Delaware",5.13333333333333
"9","District of Columbia",0
"10","Florida",7.03571428571429
"11","Georgia",8.42941176470588
"12","Hawaii",2.725
"13","Idaho",6.34285714285714
"14","Illinois",8.31428571428571
"15","Indiana",7.99047619047619
"16","Iowa",7.04615384615385
"17","Kansas",3.75
"18","Kentucky",7.26923076923077
"19","Louisiana",7.25384615384615
"20","Maine",4.43333333333333
"21","Maryland",6.04545454545455
"22","Massachusetts",6.18888888888889
"23","Michigan",7.20833333333333
"24","Minnesota",5.18666666666667
"25","Mississippi",7.45714285714286
"26","Missouri",6.575
"27","Montana",5.34166666666667
"28","Nebraska",5.14
"29","Nevada",3.575
"30","New Hampshire",3.48
"31","New Jersey",7.4
"32","New Mexico",3.775
"33","New York",6.4
"34","North Carolina",7.31428571428571
"35","North Dakota",3.98
"36","Ohio",8.21904761904762
"37","Oklahoma",7.69
"38","Oregon",7.57777777777778
"39","Pennsylvania",7.72272727272727
"40","Rhode Island",4.06666666666667
"41","South Carolina",6.61428571428571
"42","South Dakota",4.15555555555556
"43","Tennessee",6.96428571428571
"44","Texas",8.055
"45","Utah",5.2
"46","Vermont",4.7
"47","Virginia",6.67058823529412
"48","Washington",6.50909090909091
"49","West Virginia",6.975
"50","Wisconsin",6.88666666666667
"51","Wyoming",3.1
"52","Puerto Rico",5.8
